unique_id,source,company,scrip_code,headline,published_date,url,raw_text,collected_at,event_type,priority,research_score
1cf2c0f8d73a78f3,BSE,Continental Securities Ltd,538868,Disclosure received to the company under regulation 7(2)(b) of SEBI(PIT) from one of the promoter group of the company.,20-Sep-2026 13:09:17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d326721c-ef61-4c9a-8127-aa47de939b78.pdf,Disclosure received to the company under regulation 7(2)(b) of SEBI(PIT) from one of the promoter group of the company.,2026-09-20T08:31:08.158704+00:00,Promoter Activity,HIGH,70
3947347dc8673b6b,BSE,SBI Floating Rate DEBT Fund - Direct Plan - Quarterly IDCW Payout (9004157),,SBI Floating Rate DEBT Fund - Direct Plan - Quarterly IDCW Payout (9004157),20-Sep-2026 12:56:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160184+00:00,Large Order,HIGH,70
b67a390adacd270c,BSE,SBI Floating Rate DEBT Fund - Regular Plan - Monthly IDCW Payout (9004156),,SBI Floating Rate DEBT Fund - Regular Plan - Monthly IDCW Payout (9004156),20-Sep-2026 12:56:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160198+00:00,Large Order,HIGH,70
5c3618a326d47279,BSE,SBI Floating Rate DEBT Fund - Direct Plan - Monthly IDCW Payout (9004141),,SBI Floating Rate DEBT Fund - Direct Plan - Monthly IDCW Payout (9004141),20-Sep-2026 12:56:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160418+00:00,Large Order,HIGH,70
1968fc7674d91732,BSE,SBI Floating Rate DEBT Fund - Direct Plan - Monthly IDCW (9004140),,SBI Floating Rate DEBT Fund - Direct Plan - Monthly IDCW (9004140),20-Sep-2026 12:56:48,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160432+00:00,Large Order,HIGH,70
25e38b46bc79c2eb,BSE,SBI Floating Rate DEBT Fund Direct Plan Growth (9004136),,SBI Floating Rate DEBT Fund Direct Plan Growth (9004136),20-Sep-2026 12:56:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160485+00:00,Large Order,HIGH,70
2defdd4124110709,BSE,SBI Floating Rate DEBT Fund - Regular Plan - Quarterly IDCW (9004111),,SBI Floating Rate DEBT Fund - Regular Plan - Quarterly IDCW (9004111),20-Sep-2026 12:56:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160833+00:00,Large Order,HIGH,70
d3dcbea59b75e308,BSE,SBI Floating Rate DEBT Fund - Direct Plan - Quarterly IDCW (9004108),,SBI Floating Rate DEBT Fund - Direct Plan - Quarterly IDCW (9004108),20-Sep-2026 12:56:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160873+00:00,Large Order,HIGH,70
e00a62b1a2837294,BSE,SBI Floating Rate DEBT Fund - Regular Plan - Monthly IDCW (9004106),,SBI Floating Rate DEBT Fund - Regular Plan - Monthly IDCW (9004106),20-Sep-2026 12:56:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160900+00:00,Large Order,HIGH,70
83b0077aead73da5,BSE,SBI Floating Rate DEBT Fund - Regular Plan - Quarterly IDCW Payout (9004103),,SBI Floating Rate DEBT Fund - Regular Plan - Quarterly IDCW Payout (9004103),20-Sep-2026 12:56:47,https://www.bseindia.com/xml-data/corpfiling/AttachLive/747dec2c-e682-4cfe-ab20-e9c8e979fa93.pdf,SBIMF Fortnightly Portfolio 15092026,2026-09-20T08:31:08.160944+00:00,Large Order,HIGH,70
